   player1_model    player2_model treatment  horizon  matches  rounds  player1_cooperation  player2_cooperation  mutual_cooperation  player1_payoff  player2_payoff
 claude-sonnet-5  claude-sonnet-5      chat       10        1      10                 0.90                 0.90                0.90           31.30           31.30
 claude-sonnet-5  deepseek-v4-pro      chat       10        1      10                 0.90                 1.00                0.90           33.80           30.00
 claude-sonnet-5 gemini-3.6-flash      chat       10        1      10                 0.80                 0.80                0.80           30.60           30.60
 claude-sonnet-5      gpt-5.6-sol      chat       10        1      10                 0.80                 0.90                0.80           33.10           29.30
 deepseek-v4-pro  claude-sonnet-5      chat       10        1      10                 0.90                 0.80                0.80           29.30           33.10
 deepseek-v4-pro  deepseek-v4-pro      chat       10        1      10                 0.90                 0.90                0.90           31.30           31.30
 deepseek-v4-pro gemini-3.6-flash      chat       10        1      10                 0.00                 0.00                0.00           25.00           25.00
 deepseek-v4-pro      gpt-5.6-sol      chat       10        1      10                 0.10                 0.20                0.00           28.70           24.90
gemini-3.6-flash  claude-sonnet-5      chat       10        1      10                 0.00                 0.20                0.00           30.00           22.40
gemini-3.6-flash  deepseek-v4-pro      chat       10        1      10                 0.80                 0.90                0.80           33.10           29.30
gemini-3.6-flash gemini-3.6-flash      chat       10        1      10                 0.90                 0.90                0.90           31.30           31.30
gemini-3.6-flash      gpt-5.6-sol      chat       10        1      10                 0.80                 0.90                0.80           33.10           29.30
     gpt-5.6-sol  claude-sonnet-5      chat       10        1      10                 0.80                 0.80                0.80           30.60           30.60
     gpt-5.6-sol  deepseek-v4-pro      chat       10        1      10                 0.90                 1.00                0.90           33.80           30.00
     gpt-5.6-sol gemini-3.6-flash      chat       10        1      10                 0.90                 0.90                0.90           31.30           31.30
     gpt-5.6-sol      gpt-5.6-sol      chat       10        1      10                 0.80                 0.70                0.70           28.60           32.40
 claude-sonnet-5  claude-sonnet-5      chat       20        1      20                 0.85                 0.90                0.85           32.20           30.30
 claude-sonnet-5  deepseek-v4-pro      chat       20        1      20                 0.95                 0.90                0.90           30.65           32.55
 claude-sonnet-5 gemini-3.6-flash      chat       20        1      20                 0.90                 0.90                0.90           31.30           31.30
